set I:=  1 2 3 4 5 6 7 8 9 10;
set J:=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30;
set K:=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set A:=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set N:=  1 2 3;
set B:=  1 2 3;

####################################################################################################

param t: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30:=
1 13.851 8.491 16.481 5.691 18.291 9.001 11.821 4.951 5.531 15.301 4.331 6.181 0.601 8.921 18.691 19.811 6.491 5.401 10.221 9.671 8.651 15.051 19.591 7.821 1.341 12.491 18.281 17.731 20.121 23.30
2 8.342 8.402 5.432 11.792 5.912 4.372 5.372 8.652 8.342 7.642 16.972 12.952 13.212 16.382 5.942 7.252 19.212 9.392 3.062 4.802 4.952 10.682 7.252 16.742 14.062 1.342 7.302 6.712 18.972 11.38
3 22.143 7.683 13.813 8.363 16.813 11.833 9.903 15.373 15.753 22.273 16.973 8.003 13.853 7.423 18.613 21.083 16.813 16.683 12.613 10.733 11.323 6.263 17.493 9.183 14.263 16.163 22.423 21.843 6.123 18.97
4 15.704 4.574 6.124 8.654 9.084 5.914 2.554 11.544 11.654 15.374 17.084 9.374 13.104 11.654 10.804 13.254 18.254 12.834 6.004 4.574 5.694 3.004 9.904 12.764 13.854 9.004 14.824 14.264 11.164 12.15
5 12.845 2.475 7.225 6.495 9.675 2.555 2.165 7.895 8.005 12.885 13.965 7.525 9.935 10.635 10.825 12.835 15.485 9.185 3.235 1.345 2.165 6.465 10.825 11.275 10.735 6.845 13.325 12.735 14.015 14.01
6 4.206 12.956 9.676 15.606 8.596 8.596 10.506 9.936 9.396 2.686 18.536 16.806 15.386 20.416 7.206 6.466 21.206 9.996 7.596 9.496 9.186 15.846 9.676 20.446 16.166 4.026 3.506 3.006 24.136 13.81
7 20.837 8.497 9.497 11.547 12.377 11.017 7.687 16.327 16.517 20.387 20.547 11.797 16.817 12.667 14.427 17.087 21.107 17.657 11.167 9.677 10.737 2.167 12.737 14.227 17.447 14.017 19.357 18.837 6.467 13.42
8 14.848 10.958 18.838 7.898 20.528 11.328 14.268 6.498 7.008 16.518 2.168 8.168 2.408 10.328 20.798 21.748 4.958 6.468 12.498 12.078 11.018 17.498 21.848 8.928 1.908 14.458 19.878 19.358 22.268 25.63
9 11.429 13.859 5.539 17.739 2.689 10.509 9.779 14.909 14.529 9.629 23.349 18.839 19.599 22.019 0.609 2.169 25.589 15.489 9.169 10.489 11.019 13.429 3.009 22.629 20.449 6.849 5.919 5.699 21.449 6.71
10 21.0010 6.8410 12.0010 8.4910 15.0010 10.6810 8.3610 14.8210 15.1410 20.9910 17.4110 8.4010 14.0110 8.5910 16.8410 19.3510 17.5610 16.1610 11.3210 9.4910 10.2210 4.3710 15.6510 10.2510 14.5110 14.7610 20.8710 20.3010 6.1810 17.08
;


param u:=

1 1277
2 1324
3 672
4 114
5 63
6 253
7 131
8 156
9 390
10 412
11 618
12 641
13 235
14 527
15 171
16 1258
17 518
18 1211
19 908
20 796
21 1271
22 884
23 445
24 943
25 517
26 1300
27 1190
28 290
29 453
30 1098
;

param s:=

1 0
2 4
3 23
4 2
5 26
6 18
7 30
8 49
9 12
10 48
11 10
12 26
13 12
14 17
15 47
16 21
17 23
18 0
19 22
20 19
21 55
22 38
23 24
24 13
25 10
26 16
27 0
28 12
29 2
30 4
;

param d:=

1 1
2 1
3 2
4 2
5 2
6 1
7 1
8 2
9 1
10 1
11 2
12 2
13 2
14 2
15 2
16 1
17 1
18 2
19 1
20 1
21 2
22 2
23 1
24 1
25 1
26 1
27 1
28 1
29 2
30 2
;

param e:= 3;

param M:=1500;

param L:=50;

end;
